quarterID,"ratio of sleeplessness to sleep, restricted, male","ratio of sleeplessness to sleep, restriced, female","ratio, male","ratio, female","ratio, both sexes",moving average,sleepft,productionft,hworkft,leisureft,countft,sleeppt,productionpt,hworkpt,leisurept,countpt,sleepnw,hworknw,leisurenw,countnw
20093,0.133468464,0.1429810971,0.006118089,0.0068952199,0.0065617943,0.0077558246,503.5164489746,298.5151977539,209.0713806152,416.463684082,1611,533.114440918,200.0709381104,258.5652160645,434.9588012695,437,555.498840332,250.3679656982,571.1879272461,1261
20094,0.1339561641,0.1566292644,0.0056363046,0.0108805466,0.0086026639,0.0079693773,509.6465148926,310.6172180176,198.8955993652,413.2051391602,1638,537.6760864258,219.3614959717,226.3497619629,446.7065734863,426,556.0441894531,246.5409240723,578.6170043945,1222
20101,0.1768371165,0.1833188236,0.0051587489,0.0076863235,0.0065847137,0.007583392,509.6313781738,298.8020019531,204.7677459717,409.7559204102,1606,528.1268920898,201.1903686523,232.6345672607,460.8709106445,457,558.3018188477,256.7783813477,560.5922851563,1322
20102,0.1678993404,0.1862502992,0.0061647706,0.0091769462,0.0078591788,0.0074020877,496.8347473145,309.3045959473,205.9954681396,415.1231384277,1543,534.1763305664,199.6376800537,221.2753601074,472.6546020508,414,562.7522583008,236.3360595703,593.7457275391,1223
20103,0.1636170894,0.1435655057,0.0056258026,0.0071980506,0.0065145069,0.0073902658,507.4072570801,317.8635864258,197.2795715332,402.294342041,1488,534.7780151367,205.1542053223,233.3457946777,449.3948669434,428,555.0963134766,244.2889099121,573.7126464844,1298
20104,0.1074571609,0.1203860864,0.0069506573,0.0069237594,0.0069357227,0.0069735305,512.6603393555,300.3433227539,192.5589447021,416.0164794922,1637,535.3685302734,212.1797790527,223.8674163818,438.0831604004,445,561.8627319336,228.1065063477,583.7705688477,1399
20111,0.1184122711,0.1575139314,0.0046585659,0.0066012824,0.0057296786,0.0067597718,505.5787353516,311.7702941895,202.653717041,407.7682495117,1467,523.3686523438,189.9397583008,246.1686706543,466.7903747559,415,555.6978759766,238.340057373,592.298034668,1238
20112,0.1706865579,0.1685558259,0.0052736616,0.0073370212,0.0064392905,0.0064047997,506.72265625,307.3902587891,195.245300293,416.87109375,1435,522.3048095703,210.5944519043,238.3627166748,458.0075683594,397,556.7026977539,251.2694549561,589.076171875,1221
20113,0.1629042923,0.168908596,0.0066896058,0.007408272,0.0070958599,0.0065501379,506.6603393555,314.1172790527,203.1518707275,405.7783203125,1475,542.3989257813,209.8142089844,232.6120147705,441.2076416016,366,563.0826416016,228.7487335205,584.9072265625,1186
20114,0.1195569262,0.1442234367,0.0038839115,0.0076681632,0.0060334774,0.0063245766,508.4520874023,317.6926574707,190.0614624023,409.5955200195,1513,538.3857421875,224.25,217.5476226807,447.4071350098,420,564.7332763672,225.7399749756,589.288269043,1346
20121,0.1813993454,0.1495314837,0.0052874247,0.0066731605,0.0060634548,0.0064080207,505.0673828125,318.7205810547,193.4042510986,413.5425415039,1410,527.4009399414,202.1884002686,235.8550720215,460.7294616699,414,556.8632202148,238.5389099121,600.7019042969,1221
20122,0.1661237031,0.1558193713,0.0048410282,0.0070915301,0.0060823644,0.0063187891,507.2789001465,310.8837280273,189.0763244629,423.805267334,1402,541.5570678711,205.0570678711,236.1086883545,444.9184875488,368,553.0912475586,241.2885894775,604.3473510742,1140
20123,0.1666152775,0.1401035786,0.007095044,0.0059954235,0.0064818803,0.0061652942,504.7701416016,306.2952575684,199.7350311279,419.4143066406,1453,534.5510864258,196.7733306885,238.2088928223,457.2688903809,450,551.6497802734,244.4147796631,592.807800293,1285
20124,0.1720459163,0.1646726131,0.0073384512,0.0068802196,0.0070855618,0.0064283153,517.8944091797,298.9009094238,197.4909362793,416.6599731445,1544,551.7215576172,185.4454803467,224.4361877441,466.8538208008,431,567.7479248047,232.4105682373,582.8784790039,1325
20131,0.1225282103,0.1708639711,0.0044607483,0.0081722224,0.0065085026,0.0065395773,506.7469177246,317.0887145996,202.1505432129,405.676361084,1375,531.1680297852,190.216796875,234.4607086182,471.0731811523,369,552.4536132813,235.3204956055,604.4448242188,1142
20132,0.15139696,0.2014701217,0.0057492517,0.0090250121,0.0075889127,0.0069162144,507.3710327148,296.3496704102,195.9557037354,421.5933532715,1264,535.8023071289,171.2550201416,240.4212036133,466.8911132813,349,548.4725341797,238.5595245361,606.1740112305,1092
20133,0.1453546733,0.1422378421,0.0066762418,0.0078121256,0.0072965324,0.0071198774,507.8374328613,308.6217346191,201.2363128662,406.1824035645,1261,528.6073608398,202.0903930664,233.1779632568,446.8079223633,354,560.7993164063,238.0695800781,582.2961425781,1121
